Version,Date,Time,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,26/10/2024,8:09:54,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last 7 shifts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machine,Serial,Nr,Shift,Date,Time,Picks,Length,%,Weaver %,Stops,CMPX,Time,Filling,CMPX,Time,Warp,CMPX,Time,Bobbin,CMPX,Time,Hand,CMPX,Time,Other,CMPX,Time,Starts,Speed
LOOM09,424439,-6,A,23/10/2024,8:00,363118,127.8,84.1,84.1,91,25.1,5518,41,11.3,1007,31,8.5,3573,15,4.1,635,3,0.8,270,1,0.3,33,41,599
LOOM10,424435,Current,A,26/10/2024,8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM10,424435,-1,B,25/10/2024,20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM10,424435,-2,A,25/10/2024,8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM10,424435,-3,B,24/10/2024,20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM10,424435,-4,A,24/10/2024,8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM10,424435,-5,B,23/10/2024,20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM10,424435,-6,A,23/10/2024,8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM11,424438,Current,A,26/10/2024,8:00,5188,1.8,88.7,88.7,1,19.3,32,0,0,0,0,0,0,1,19.3,32,0,0,0,0,0,0,2,598
LOOM11,424438,-1,B,25/10/2024,20:00,400513,141,92.8,92.8,56,14,2686,19,4.7,419,12,3,1100,19,4.7,862,5,1.2,275,1,0.2,30,13,599
LOOM11,424438,-2,A,25/10/2024,8:00,388976,136.9,90.1,90.1,57,14.7,4024,22,5.7,397,25,6.4,2928,7,1.8,282,2,0.5,391,1,0.3,26,5,599
LOOM11,424438,-3,B,24/10/2024,20:00,396395,139.5,91.9,91.9,63,15.9,2908,21,5.3,393,17,4.3,1531,24,6.1,965,1,0.3,19,0,0,0,21,599
LOOM11,424438,-4,A,24/10/2024,8:00,401858,141.5,93.1,93.1,52,12.9,2657,21,5.2,430,20,5,1513,8,2,327,3,0.7,387,0,0,0,12,599
LOOM11,424438,-5,B,23/10/2024,20:00,412312,145.1,95.5,95.5,30,7.3,1861,11,2.7,302,10,2.4,1220,6,1.5,247,2,0.5,59,1,0.2,33,3,599
LOOM11,424438,-6,A,23/10/2024,8:00,331928,116.8,78.4,78.4,85,25.6,6810,30,9,660,38,11.4,4154,13,3.9,632,3,0.9,1322,1,0.3,42,42,598
LOOM12,424440,Current,A,26/10/2024,8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM12,424440,-1,B,25/10/2024,20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM12,424440,-2,A,25/10/2024,8:00,210932,77.6,73.3,73.3,60,28.4,3034,22,10.4,837,16,7.6,1364,7,3.3,446,12,5.7,305,3,1.4,82,13,550
LOOM12,424440,-3,B,24/10/2024,20:00,350025,128.8,88.3,88.3,88,25.1,4302,37,10.6,1096,37,10.6,2452,12,3.4,689,1,0.3,48,1,0.3,17,22,550
LOOM12,424440,-4,A,24/10/2024,8:00,342356,126,86.4,86.4,99,28.9,4550,36,10.5,1501,28,8.2,1706,15,4.4,742,3,0.9,133,17,5,468,36,550
LOOM12,424440,-5,B,23/10/2024,20:00,352482,129.7,88.9,88.9,77,21.8,3854,37,10.5,1148,27,7.7,2247,7,2,333,6,1.7,126,0,0,0,13,550
LOOM12,424440,-6,A,23/10/2024,8:00,214111,79.3,76.8,76.8,63,29.4,4554,20,9.3,723,29,13.5,2429,8,3.7,640,5,2.3,740,1,0.5,22,28,550
LOOM13,424432,Current,A,26/10/2024,8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM13,424432,-1,B,25/10/2024,20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM13,424432,-2,A,25/10/2024,8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM13,424432,-3,B,24/10/2024,20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM13,424432,-4,A,24/10/2024,8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM13,424432,-5,B,23/10/2024,20:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOOM13,424432,-6,A,23/10/2024,8:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
